path,tier,has_authz_check,test_file_match,verdict
teacher/classes/available,1,yes,yes,OK
teacher/join-class,1,yes,yes,OK
teacher/lab-leaderboard,1,yes,no,OK
teacher/messages,1,yes,no,OK
teacher/messages/threads,1,yes,no,OK
teacher/messages/threads/[id]/messages,1,yes,no,OK
teacher/modules,1,yes,yes,OK
teacher/parent-notify,1,yes,yes,OK
teacher/profile,1,yes,yes,OK
teacher/remediation,1,yes,yes,OK
teacher/students/[id]/notes,1,yes,yes,OK
teacher/subjects,1,yes,yes,OK
tutor/answer,1,yes,yes,OK
tutor/next,1,yes,yes,OK
v1/account/delete,1,yes,yes,OK
v1/chapter-readiness,1,yes,yes,OK
v1/child/[id]/progress,1,yes,yes,OK
v1/child/[id]/report,1,yes,yes,OK
v1/class/[id]/analytics,1,yes,yes,OK
v1/exam/create,1,yes,yes,OK
v1/health,1,no,yes,OK-public-by-design
v1/leaderboard,1,yes,yes,OK
v1/leaderboard/class/[classId],1,yes,no,OK
v1/leaderboard/mastery,1,yes,yes,OK
v1/performance,1,yes,yes,OK
v1/school/reports,1,yes,yes,OK
v1/school/students,1,yes,yes,OK
v1/study-plan,1,yes,no,OK
v1/subject-readiness,1,yes,yes,OK
v1/upload-assignment,1,yes,no,OK
v2/learn/concept,1,yes,yes,OK
v2/learn/curriculum,1,yes,yes,OK
v2/parent/children,1,yes,yes,OK
v2/parent/encourage,1,yes,yes,OK
v2/parent/glance,1,yes,yes,OK
v2/student/leaderboard,1,yes,yes,OK
v2/student/profile,1,yes,yes,OK
v2/student/progress,1,yes,yes,OK
v2/today,1,yes,yes,OK
alfabot,2,no,yes,OK-public-by-design
alfabot/inquiry,2,no,yes,OK-public-by-design
alfabot/lead,2,no,yes,OK-public-by-design
billing/coverage,2,yes,yes,OK
billing/tax-config,2,yes,yes,OK
board-score,2,yes,no,OK
client-error,2,no,no,OK-public-by-design
concept-engine,2,yes,yes,OK
dashboard/reviews-due,2,yes,yes,OK
embedding,2,yes,no,OK
error-report,2,no,no,OK-public-by-design
feature-flags/check,2,no,yes,OK-public-by-design
feature-flags/voice,2,no,yes,OK-public-by-design
foxy,2,yes,yes,OK
health,2,no,yes,OK-public-by-design
internal/admin/ai-monitor,2,yes,no,OK
internal/admin/bulk-action,2,yes,yes,OK
internal/admin/command-center,2,yes,yes,OK
internal/admin/content,2,yes,yes,OK
internal/admin/feature-flags,2,yes,yes,OK
internal/admin/logs,2,yes,no,OK
internal/admin/reports,2,yes,yes,OK
internal/admin/revenue,2,yes,no,OK
internal/admin/schools,2,yes,yes,OK
internal/admin/stats,2,yes,yes,OK
internal/admin/support,2,yes,yes,OK
internal/admin/users,2,yes,yes,OK
internal/admin/users/[id],2,yes,no,OK
internal/agents/chapter-explorer,2,yes,yes,OK
lab-notebook/list,2,yes,yes,OK
mol/feedback,2,yes,yes,OK
oauth/authorize,2,no,yes,OK-public-by-design
oauth/token,2,yes,yes,OK
practice/history,2,yes,yes,OK
public/v1/classes,2,yes,yes,OK
public/v1/marketplace/listings,2,yes,no,OK
public/v1/openapi,2,no,no,OK-public-by-design
public/v1/reports,2,yes,yes,OK
public/v1/students,2,yes,yes,OK
revision/overview,2,yes,no,OK
scan-solve,2,yes,no,OK
school-config,2,yes,no,OK
school-config/manifest,2,yes,yes,OK
schools/claim-admin,2,no,yes,OK-public-by-design
schools/enroll,2,yes,yes,OK
schools/join,2,yes,yes,OK
schools/setup/classes,2,yes,yes,OK
schools/setup/invite-codes,2,yes,no,OK
schools/setup/profile,2,yes,yes,OK
schools/trial,2,no,yes,OK-public-by-design
super-admin/ai/[fn],2,yes,no,OK
super-admin/ai/oracle-health,2,yes,yes,OK
super-admin/alerts,2,yes,yes,OK
super-admin/alfabot/sessions,2,yes,no,OK
super-admin/alfabot/sessions/[sessionId],2,yes,no,OK
super-admin/alfabot/stats,2,yes,yes,OK
super-admin/analytics,2,yes,yes,OK
super-admin/analytics-v2,2,yes,no,OK
super-admin/analytics-v2/b2b,2,yes,yes,OK
super-admin/analytics/posthog-summary,2,yes,no,OK
super-admin/billing/tax-config,2,yes,yes,OK
super-admin/bulk-actions/notify,2,yes,yes,OK
super-admin/bulk-actions/plan-change,2,yes,yes,OK
super-admin/bulk-actions/resend-invites,2,yes,no,OK
super-admin/bulk-actions/suspend-restore,2,yes,no,OK
super-admin/bulk-upload,2,yes,no,OK
super-admin/cms,2,yes,no,OK
super-admin/content,2,yes,yes,OK
super-admin/content-coverage,2,yes,no,OK
super-admin/contracts,2,yes,yes,OK
super-admin/contracts/[id],2,yes,no,OK
super-admin/contracts/[id]/renew,2,yes,no,OK
super-admin/db-performance,2,yes,yes,OK
super-admin/debug/whoami,2,yes,no,OK
super-admin/demo-accounts,2,yes,yes,OK
super-admin/demo-accounts/[id]/resend-credentials,2,yes,no,OK
super-admin/deploy,2,yes,yes,OK
super-admin/entitlements,2,yes,yes,OK
super-admin/feature-flags,2,yes,yes,OK
super-admin/foxy-quality,2,yes,yes,OK
super-admin/goal-profiles,2,yes,yes,OK
