route|file|top|methods|mutating|auth_first|auth_line|auth_class|auth_all|permission_codes|admin_level|zod_import_line|validation|uuid_check_line|has_dynamic_segment|audit_first|audit_line|audit_all|supabase_client|bounding|unbounded_flag|n_select|n_from|n_eq|n_rpc|rate_limit_line|ui_callers|ui_caller_files|prefix_ui_callers|internal_api_callers|internal_files|test_callers|external_callers|external_files|orphan_status|lines|with_route|runtime|deprecated
/api/pulse/class/[classId]|apps/host/src/app/api/pulse/class/[classId]/route.ts|pulse|GET|false|authorizeRequest|52|RBAC|authorizeRequest@52|class.view_analytics||0|NONE|58|true|logAudit|85|logAudit@85|service-role|limit(x2)@105;maybeSingle(x2)||3|3|7|0|0|5|apps/host/src/app/teacher/classes/page.tsx(1),packages/lib/src/pulse/pulse-server.ts(1),packages/lib/src/pulse/types.ts(2),packages/lib/src/pulse/use-pulse.ts(1)|6|0||1|2|scripts/route-access-manifest.json(1),scripts/verify-live-tenant-isolation-smoke.ts(2)|CALLED|195|false||false
/api/pulse/me|apps/host/src/app/api/pulse/me/route.ts|pulse|GET|false|authorizeRequest|38|RBAC|authorizeRequest@38|progress.view_own||0|NONE|0|false|NONE|||service-role|NONE||0|0|0|0|0|4|apps/host/src/app/(student)/progress/page.tsx(2),packages/lib/src/pulse/pulse-server.ts(1),packages/lib/src/pulse/types.ts(2),packages/lib/src/pulse/use-pulse.ts(1)||0||2|1|scripts/route-access-manifest.json(1)|CALLED|73|false||false
/api/pulse/school|apps/host/src/app/api/pulse/school/route.ts|pulse|GET|false|NONE||NONE||||0|NONE|0|false|NONE|||none|NONE||0|0|0|2|0|5|apps/host/src/app/school-admin/CommandCenter.tsx(6),packages/ui/src/pulse/SchoolPulsePanel.tsx(1),packages/lib/src/pulse/types.ts(1),packages/lib/src/pulse/use-pulse.ts(2)||1|apps/host/src/app/api/school-admin/leadership/route.ts(1)|3|1|scripts/route-access-manifest.json(1)|CALLED|106|false||false
/api/pulse/student/[id]|apps/host/src/app/api/pulse/student/[id]/route.ts|pulse|GET|false|authorizeRequest|61|RBAC|authorizeRequest@61|||0|NONE|67|true|logAudit|77|logAudit@77|service-role|maybeSingle(x1)||1|1|1|0|0|5|apps/host/src/app/parent/children/page.tsx(1),apps/host/src/app/teacher/students/page.tsx(1),packages/lib/src/pulse/pulse-server.ts(1),packages/lib/src/pulse/types.ts(2)|7|2|apps/host/src/app/api/predict/outcome/route.ts(1),apps/host/src/app/api/v2/today/route.ts(3)|1|1|scripts/route-access-manifest.json(1)|CALLED|166|false||false
/api/quiz/ncert-questions|apps/host/src/app/api/quiz/ncert-questions/route.ts|quiz|GET|false|authorizeRequest|138|RBAC|authorizeRequest@138|quiz.attempt||0|NONE|0|false|NONE|||service-role|limit(x4)@222||6|7|17|0|0|0|||0||1|2|supabase/migrations/20260728090000_lockdown_anon_readable_public_tables.sql(2),scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|531|false||false
/api/quiz|apps/host/src/app/api/quiz/route.ts|quiz|GET,POST|true|authorizeRequest|208|RBAC|authorizeRequest@208|quiz.attempt||0|NONE|0|false|logAudit|426|logAudit@426|service-role|single(x2)||2|2|4|4|0|1|packages/lib/src/api/v2/contract.ts(1)||2|apps/host/src/app/api/v2/learn/concept/route.ts(1),apps/host/src/app/api/v2/quiz/questions/route.ts(7)|5|6|supabase/migrations/20260802100000_select_quiz_questions_rag_verification_gate.sql(1),supabase/migrations/20260815000001_guard_unguarded_secdef_rpcs.sql(2),supabase/migrations/20260815000003_revert_secdef_guards_pending_auth_user_id_backfill.sql(2),supabase/migrations/20260816000003_reinstantiate_secdef_guards_corrected.sql(2)|CALLED|622|false||false
/api/quiz/session/[sessionId]/progress|apps/host/src/app/api/quiz/session/[sessionId]/progress/route.ts|quiz|GET,POST|true|authorizeRequest|119|RBAC|authorizeRequest@119|quiz.attempt||0|NONE|0|true|NONE|||service-role|limit(x2)@140||5|5|7|0|0|1|packages/lib/src/quiz/resume.ts(3)|3|0||1|2|supabase/migrations/20260814000021_quiz_session_shuffles_session_mode.sql(2),scripts/route-access-manifest.json(1)|CALLED|491|false||false
/api/quiz/submit|apps/host/src/app/api/quiz/submit/route.ts|quiz|POST|true|authorizeRequest|134|RBAC|authorizeRequest@134;createSupabaseRouteClient(RLS)@256|quiz.attempt||66|zod@93|94|false|NONE|||service-role+rls|maybeSingle(x2)||2|2|4|1|0|8|apps/host/src/app/(student)/quiz/page.tsx(1),packages/ui/src/quiz/QuizResults.tsx(1),packages/lib/src/api/v2/contract.ts(2),packages/lib/src/quiz/idempotency.ts(1)||2|apps/host/src/app/api/v2/quiz/start/route.ts(1),apps/host/src/app/api/v2/quiz/submit/route.ts(13)|11|6|supabase/migrations/20260504100200_quiz_idempotency_key.sql(1),supabase/migrations/20260504100300_server_only_quiz_submit_flag.sql(8),supabase/migrations/20260504100600_v1_quiz_rpc_user_agent_flag.sql(6),supabase/migrations/20260814000022_submit_quiz_v2_written_answer_scoring.sql(1)|CALLED|520|false||false
/api/revision/overview|apps/host/src/app/api/revision/overview/route.ts|revision|GET|false|authorizeRequest|95|RBAC|authorizeRequest@95|progress.view_own||0|zod@83|0|false|NONE|||service-role|NONE|UNBOUNDED(eq-scoped)|1|2|1|0|0|10|apps/host/src/app/(student)/progress/page.tsx(1),apps/host/src/app/(student)/revision/page.tsx(1),packages/ui/src/dashboard/os/RevisionRail.tsx(1),packages/ui/src/dashboard/ReviewsDueCard.tsx(1)||2|apps/host/src/app/api/foxy/suggest-prompts/route.ts(1),apps/host/src/app/api/practice/history/route.ts(2)|4|4|supabase/migrations/20260702160000_p3w3_17_concept_mastery_review_date_index.sql(2),supabase/migrations/20260702200000_fix_get_adaptive_questions_srs_due_predicate.sql(3),supabase/migrations/20260722104100_seed_ff_revision_os_v1.sql(2),scripts/route-access-manifest.json(1)|CALLED|252|false||false
/api/rhythm/remediation/[id]/resolve|apps/host/src/app/api/rhythm/remediation/[id]/resolve/route.ts|rhythm|POST|true|authorizeRequest|47|RBAC|authorizeRequest@47|quiz.attempt||0|NONE|0|true|NONE|||service-role|NONE||0|0|0|0|0|2|apps/host/src/app/(student)/quiz/page.tsx(2),packages/lib/src/state/learner-loop/types.ts(1)|3|1|apps/host/src/app/api/student/assignments/[id]/complete/route.ts(1)|1|1|scripts/route-access-manifest.json(1)|CALLED|97|false||false
