useHasUpcomingExam	packages/ui/src/navigation/use-has-upcoming-exam.ts	lines=8	files=4	packages/ui/src/navigation/DesktopSidebar.tsx:8 packages/ui/src/navigation/MobileBottomNav.tsx:42 packages/ui/src/navigation/NavMoreSheet.tsx:34 
useHeatmap	packages/lib/src/teacher/use-teacher-data.ts	lines=3	files=1	apps/host/src/app/teacher/CommandCenter.tsx:26 
useInTheMomentAlerts	packages/lib/src/teacher/use-teacher-data.ts	lines=2	files=1	apps/host/src/app/teacher/CommandCenter.tsx:60 
useInViewOnce	packages/ui/src/landing/v3/MotionPrimitives.tsx	lines=0	files=0	
useIsModuleEnabled	packages/lib/src/tenant-domain/client.tsx	lines=0	files=0	
useKeyboardInset	packages/lib/src/foxy/use-keyboard-inset.ts	lines=2	files=1	apps/host/src/app/foxy/page.tsx:57 
useLang	packages/ui/src/landing/LangToggle.tsx	lines=19	files=8	apps/host/src/app/schools/page.tsx:5 packages/ui/src/landing/CredibilityStrip.tsx:3 packages/ui/src/landing/Footer.tsx:4 
useLeaderboard	packages/lib/src/swr.tsx	lines=4	files=3	apps/host/src/app/(student)/leaderboard/page.tsx:15 apps/host/src/app/api/v1/leaderboard/route.ts:65 packages/lib/src/pulse/use-pulse.ts:14 
useLearnerActionForToday	packages/lib/src/swr.tsx	lines=2	files=1	packages/ui/src/study-plan/TodayLoopCard.tsx:26 
useLearnerDecision	packages/lib/src/state/rules/client.ts	lines=0	files=0	
useLearnerDecisions	packages/lib/src/state/rules/client.ts	lines=0	files=0	
useLearnerNext	packages/lib/src/swr.tsx	lines=1	files=1	packages/lib/src/pulse/use-pulse.ts:14 
useMasteryOverview	packages/lib/src/swr.tsx	lines=15	files=8	apps/host/src/app/(student)/dashboard/StudentOSDashboard.tsx:29 apps/host/src/app/(student)/practice/page.tsx:19 packages/ui/src/dashboard/os/MasterySnapshot.tsx:36 
useMisconceptionClusters	packages/lib/src/teacher/use-teacher-data.ts	lines=2	files=1	apps/host/src/app/teacher/CommandCenter.tsx:59 
useMockTestState	packages/ui/src/exams/useMockTestState.ts	lines=15	files=3	apps/host/src/app/(student)/exams/mock/[paperId]/results/page.tsx:7 packages/ui/src/exam/v2/ExamRunner.tsx:8 packages/ui/src/exams/MockTestRunner.tsx:6 
useMoreSheetItems	packages/ui/src/navigation/NavMoreSheet.tsx	lines=5	files=2	packages/ui/src/navigation/MobileBottomNav.tsx:41 packages/ui/src/navigation/TabletNavRail.tsx:54 
useMyPulse	packages/lib/src/pulse/use-pulse.ts	lines=3	files=1	apps/host/src/app/(student)/progress/page.tsx:35 
useNextTask	packages/lib/src/quiz/v2/use-next-task.ts	lines=3	files=2	apps/host/src/app/(student)/quiz/page.tsx:11 packages/ui/src/quiz/v2/ResultSummary.tsx:70 
useNotifications	packages/lib/src/swr.tsx	lines=3	files=1	apps/host/src/app/today/page.tsx:54 
useOfflineState	packages/lib/src/offline/use-offline-state.ts	lines=15	files=7	apps/host/src/app/me/page.tsx:19 apps/host/src/app/today/page.tsx:85 packages/ui/src/exam/v2/ExamRunner.tsx:31 
useOverlayStack	packages/ui/src/ui/primitives/overlay/overlayStack.ts	lines=10	files=5	packages/ui/src/admin-ui/DetailDrawer.tsx:8 packages/ui/src/ui/primitives/BottomSheet.tsx:19 packages/ui/src/ui/primitives/Dialog.tsx:22 
useParentAuth	apps/host/src/app/parent/_components/useParentAuth.ts	lines=3	files=1	apps/host/src/app/parent/_components/ParentShell.tsx:8 
useParentChildScope	packages/lib/src/parent/use-parent-child-scope.ts	lines=3	files=1	apps/host/src/app/parent/reports/ProgressPanel.tsx:15 
usePermissions	packages/lib/src/usePermissions.ts	lines=27	files=8	apps/host/src/app/(student)/progress/page.tsx:32 apps/host/src/app/parent/children/page.tsx:11 apps/host/src/app/school-admin/CommandCenter.tsx:43 
usePopoverPosition	packages/ui/src/ui/primitives/overlay/usePopoverPosition.ts	lines=13	files=4	packages/ui/src/navigation/TabletNavRail.tsx:364 packages/ui/src/ui/primitives/index.ts:163 packages/ui/src/ui/primitives/Menu.tsx:24 
usePortalAction	packages/lib/src/usePortalFetch.ts	lines=43	files=13	apps/host/src/app/hpc/page.tsx:22 apps/host/src/app/parent/attendance/page.tsx:6 apps/host/src/app/parent/children/page.tsx:8 
usePortalFetch	packages/lib/src/usePortalFetch.ts	lines=14	files=13	apps/host/src/app/hpc/page.tsx:19 apps/host/src/app/parent/attendance/page.tsx:6 apps/host/src/app/parent/children/page.tsx:8 
usePracticeHistory	packages/ui/src/practice/os/usePracticeHistory.ts	lines=8	files=5	packages/ui/src/practice/os/DuePracticeCard.tsx:20 packages/ui/src/practice/os/PracticeCenter.tsx:9 packages/ui/src/practice/os/PracticeHeader.tsx:19 
usePracticeOsFlag	packages/lib/src/use-practice-os-flag.ts	lines=2	files=1	apps/host/src/app/(student)/practice/page.tsx:28 
usePrefersReducedMotion	packages/ui/src/cosmic/usePrefersReducedMotion.ts	lines=15	files=5	packages/ui/src/cosmic/index.ts:34 packages/ui/src/landing/FoxyMark.tsx:20 packages/ui/src/landing/v3/FoxyMascot.tsx:4 
usePresence	packages/ui/src/ui/primitives/overlay/usePresence.ts	lines=17	files=7	packages/ui/src/ui/primitives/BottomSheet.tsx:18 packages/ui/src/ui/primitives/Dialog.tsx:21 packages/ui/src/ui/primitives/Drawer.tsx:16 
