useSchoolAdminRole	packages/lib/src/use-school-admin-role.ts:56
useSchoolCommandCenter	packages/lib/src/use-school-command-center.ts:77
useSchoolProvisioning	packages/lib/src/use-school-provisioning.ts:80
useSchoolPulse	packages/lib/src/pulse/use-pulse.ts:115
useSchoolPulseFlag	packages/lib/src/use-school-pulse-flag.ts:85
useSchoolReportsDepth	packages/lib/src/use-school-reports-depth.ts:82
useScrollLock	packages/ui/src/ui/primitives/overlay/useScrollLock.ts:45
useSetup	packages/lib/src/onboarding/use-setup.ts:79
useSimulations	packages/ui/src/useSimulations.ts:27
useSnapCurriculumTopics	packages/lib/src/foxy/use-snap-curriculum-topics.ts:86
useStudentMasteryReport	packages/lib/src/teacher/use-teacher-data.ts:235
useStudentProfiles	packages/lib/src/swr.tsx:84
useStudentSnapshot	packages/lib/src/swr.tsx:107
useStudyArtifacts	apps/host/src/app/foxy/_hooks/useStudyArtifacts.ts:54
useStudyPlan	packages/lib/src/swr.tsx:121
useSubjectLookup	packages/lib/src/useSubjectLookup.ts:13
useSubjectReadiness	packages/lib/src/useSubjectReadiness.ts:56
useSubjects	packages/lib/src/swr.tsx:93
useSubjectsOsFlag	packages/lib/src/use-subjects-os-flag.ts:106
useTeacherAllowedSubjects	packages/lib/src/useTeacherAllowedSubjects.ts:16
useTeacherAssignmentLifecycle	packages/lib/src/use-teacher-assignment-lifecycle.ts:75
useTeacherDashboard	packages/lib/src/teacher/use-teacher-data.ts:143
useTeacherGradebookDepth	packages/lib/src/use-teacher-gradebook-depth.ts:76
useTeacherParentComms	packages/lib/src/use-teacher-parent-comms.ts:80
useTenant	packages/lib/src/tenant-context.ts:9
useTenantConfig	packages/lib/src/tenant-domain/client.tsx:230
useTenantConfigValue	packages/lib/src/tenant-domain/client.tsx:252
useTenantType	packages/lib/src/tenant-domain/client.tsx:261
useTestOsFlag	packages/lib/src/use-test-os-flag.ts:118
useToast	packages/ui/src/ui/primitives/Toast.tsx:185
useTodayQueue	packages/lib/src/today/use-today-queue.ts:42
useTouchAndMouse	apps/host/src/hooks/useTouchAndMouse.ts:17
useTouchAndMouse	packages/lib/src/hooks/useTouchAndMouse.ts:17
useUpcomingExams	packages/ui/src/exam-briefing/os/useUpcomingExams.ts:54
useVoicePlayback	packages/ui/src/foxy/useVoicePlayback.ts:78
useWelcomeV2	packages/ui/src/landing/WelcomeV2Context.tsx:45
